,,,Dufferin (Census division),,,,,,Ontario (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Household and dwelling characteristics,            With children,,    7290,,,...,,..., 1471175,,,...,,...
Household and dwelling characteristics,         Lone-parent-family households,,    1820,,,...,,...,  460840,,,...,,...
Household and dwelling characteristics,      Other family households,13,    1630,,,...,,...,  371515,,,...,,...
Household and dwelling characteristics,         One-family households with persons not in a census family,,    1135,,,...,,...,  242850,,,...,,...
Household and dwelling characteristics,            Couple-family households,14,     790,,,...,,...,  167865,,,...,,...
Household and dwelling characteristics,               Without children,,     275,,,...,,...,   52945,,,...,,...
Household and dwelling characteristics,               With children,,     520,,,...,,...,  114920,,,...,,...
Household and dwelling characteristics,            Lone-parent-family households,,     345,,,...,,...,   74985,,,...,,...
Household and dwelling characteristics,         Two-or-more-family households,,     495,,,...,,...,  128660,,,...,,...
Household and dwelling characteristics,   Non-census-family households,,    4215,,,...,,..., 1412480,,,...,,...
Household and dwelling characteristics,      One-person households,,    3725,,,...,,..., 1230980,,,...,,...
Household and dwelling characteristics,      Two-or-more-person households,,     485,,,...,,...,  181500,,,...,,...
Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,15,   20070,,,...,,..., 4887505,,,...,,...
Household and dwelling characteristics,   Single-detached house,,   15335,,,...,,..., 2718880,,,...,,...
Household and dwelling characteristics,   Apartment; building that has five or more storeys,,     515,,,...,,...,  789970,,,...,,...
Household and dwelling characteristics,   Movable dwelling,16,      35,,,...,,...,   15800,,,...,,...
Household and dwelling characteristics,   Other dwelling,17,    4190,,,...,,..., 1362860,,,...,,...
Household and dwelling characteristics,      Semi-detached house,,    1370,,,...,,...,  279470,,,...,,...
Household and dwelling characteristics,      Row house,,    1050,,,...,,...,  415225,,,...,,...
Household and dwelling characteristics,      Apartment; duplex,,     250,,,...,,...,  160460,,,...,,...
Household and dwelling characteristics,      Apartment; building that has fewer than five storeys,,    1480,,,...,,...,  498160,,,...,,...
Household and dwelling characteristics,      Other single-attached house,,      40,,,...,,...,    9540,,,...,,...
Household and dwelling characteristics,Total number of private households by household size,18,   20075,,,...,,..., 4887505,,,...,,...
Household and dwelling characteristics,   1 person,,    3725,,,...,,..., 1230975,,,...,,...
Household and dwelling characteristics,   2 persons,,    6465,,,...,,..., 1584415,,,...,,...
Household and dwelling characteristics,   3 persons,,    3535,,,...,,...,  803030,,,...,,...
Household and dwelling characteristics,   4 persons,,    4010,,,...,,...,  783925,,,...,,...
Household and dwelling characteristics,   5 persons,,    1625,,,...,,...,  310860,,,...,,...
Household and dwelling characteristics,   6 or more persons,,     710,,,...,,...,  174305,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,   56085,,,...,,...,12655135,,,...,,...
Household and dwelling characteristics,Average number of persons in private households,,    2.8,,,...,,...,    2.6,,,...,,...
Detailed mother tongue,Detailed mother tongue - Total population excluding institutional residents,19,   56365,,   27915,,   28450,,12722060,, 6210335,, 6511730,
Detailed mother tongue,  Single responses ,,   55970,,   27720,,   28245,,12434770,, 6071955,, 6362815,
Detailed mother tongue,    English ,,   51310,,   25465,,   25840,, 8677040,, 4276970,, 4400065,
Detailed mother tongue,    French ,,     605,,     270,,     340,,  493300,,  232785,,  260510,
Detailed mother tongue,    Non-official languages ,,    4055,,    1990,,    2060,, 3264435,, 1562190,, 1702240,
Detailed mother tongue,      Selected Aboriginal languages,20,       5,,       0,,       0,,   15625,,    7315,,    8305,
Detailed mother tongue,        Atikamekw   ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed mother tongue,        Cree; n.o.s. ,,       0,,       0,,       0,,    3930,,    1835,,    2095,
Detailed mother tongue,        Dene ,,       0,,       0,,       0,,      20,,       5,,      10,
Detailed mother tongue,        Innu/Montagnais ,,       0,,       0,,       0,,       5,,       5,,       5,
Detailed mother tongue,        Inuktitut ,,       0,,       0,,       0,,     300,,      85,,     215,
Detailed mother tongue,        Mi'kmaq ,,       0,,       0,,       0,,      70,,      20,,      45,
Detailed mother tongue,        Ojibway ,,       5,,       0,,       0,,    8255,,    3925,,    4330,
Detailed mother tongue,        Oji-Cree ,,       0,,       0,,       0,,    3030,,    1440,,    1590,
Detailed mother tongue,        Stoney ,,       0,,       0,,       0,,       5,,       0,,       0,
Detailed mother tongue,      Selected non-Aboriginal languages,21,    4020,,    1980,,    2045,, 3222400,, 1542155,, 1680245,
Detailed mother tongue,        African languages; n.i.e. ,,       5,,       0,,       0,,    3080,,    1585,,    1495,
Detailed mother tongue,        Afrikaans ,,       5,,       0,,       0,,    2060,,    1030,,    1030,
Detailed mother tongue,        Akan (Twi) ,,       0,,       0,,       0,,    9680,,    4565,,    5115,
Detailed mother tongue,        Albanian ,,      10,,       5,,       5,,   17440,,    8870,,    8565,
Detailed mother tongue,        Amharic ,,       0,,       0,,       0,,    9190,,    4295,,    4895,
Detailed mother tongue,        Arabic ,,      50,,      30,,      20,,  133390,,   69890,,   63500,
Detailed mother tongue,        Armenian ,,       5,,       0,,       5,,   13070,,    6330,,    6740,
Detailed mother tongue,        Bantu languages; n.i.e. ,,       0,,       0,,       0,,    3040,,    1445,,    1595,
Detailed mother tongue,        Bengali ,,       5,,       5,,       5,,   38685,,   19745,,   18935,
Detailed mother tongue,        Berber languages (Kabyle) ,,       0,,       0,,       0,,     120,,      70,,      60,
Detailed mother tongue,        Bisayan languages ,,       5,,       0,,       5,,    6380,,    2395,,    3985,
Detailed mother tongue,        Bosnian ,,       0,,       0,,       0,,    6140,,    3045,,    3095,
Detailed mother tongue,        Bulgarian ,,      10,,       5,,       5,,    9015,,    4390,,    4625,
Detailed mother tongue,        Burmese ,,       0,,       0,,       0,,    1400,,     685,,     715,
Detailed mother tongue,        Cantonese ,,      25,,      10,,      15,,  186870,,   87020,,   99850,
Detailed mother tongue,        Chinese; n.o.s. ,,      35,,      10,,      25,,  195120,,   92170,,  102950,
Detailed mother tongue,        Creoles ,,       5,,       0,,       0,,    9650,,    4355,,    5295,
Detailed mother tongue,        Croatian ,,      85,,      40,,      45,,   33830,,   16505,,   17320,
Detailed mother tongue,        Czech ,,      45,,      20,,      20,,   12115,,    5675,,    6440,
Detailed mother tongue,        Danish ,,      45,,      20,,      25,,    4745,,    2230,,    2515,
Detailed mother tongue,        Dutch ,,     445,,     215,,     230,,   58135,,   28150,,   29985,
Detailed mother tongue,        Estonian ,,      15,,       5,,      10,,    5025,,    2170,,    2850,
Detailed mother tongue,        Finnish ,,      30,,      10,,      20,,   11350,,    4905,,    6450,
Detailed mother tongue,        Flemish ,,       0,,       0,,       0,,    2710,,    1180,,    1530,
Detailed mother tongue,        Fukien ,,       0,,       0,,       0,,    3410,,    1620,,    1795,
Detailed mother tongue,        German ,,     790,,     380,,     410,,  140315,,   65815,,   74500,
Detailed mother tongue,        Greek ,,      60,,      30,,      25,,   56890,,   28455,,   28435,
Detailed mother tongue,        Gujarati ,,      10,,       5,,       5,,   68105,,   34110,,   33995,
Detailed mother tongue,        Hakka ,,       5,,       5,,       0,,    3535,,    1685,,    1850,
Detailed mother tongue,        Hebrew ,,       0,,       0,,       0,,   11415,,    6085,,    5330,
Detailed mother tongue,        Hindi ,,      35,,      25,,      10,,   47645,,   23880,,   23765,
Detailed mother tongue,        Hungarian ,,     110,,      55,,      55,,   41010,,   19455,,   21555,
Detailed mother tongue,        Ilocano ,,      10,,       0,,      10,,    8050,,    2990,,    5060,
Detailed mother tongue,        Indo-Iranian languages; n.i.e. ,,       0,,       0,,       0,,    2845,,    1520,,    1330,
Detailed mother tongue,        Italian ,,     455,,     260,,     195,,  251330,,  123830,,  127505,
Detailed mother tongue,        Japanese ,,      25,,      10,,      15,,   12215,,    4415,,    7800,
Detailed mother tongue,        Khmer (Cambodian) ,,       0,,       0,,       0,,    7210,,    3345,,    3860,
Detailed mother tongue,        Korean ,,      50,,      20,,      25,,   64080,,   30065,,   34015,
Detailed mother tongue,        Kurdish ,,       5,,       0,,       0,,    5760,,    3100,,    2660,
Detailed mother tongue,        Lao ,,       0,,       0,,       0,,    5350,,    2620,,    2730,
Detailed mother tongue,        Latvian ,,      25,,      15,,      10,,    4640,,    1970,,    2670,
Detailed mother tongue,        Lingala ,,       0,,       0,,       0,,     755,,     325,,     430,
Detailed mother tongue,        Lithuanian ,,      10,,       5,,       0,,    5600,,    2375,,    3230,
Detailed mother tongue,        Macedonian ,,      10,,       5,,      10,,   16305,,    7930,,    8370,
Detailed mother tongue,        Malay ,,       0,,       0,,       0,,    5305,,    2395,,    2910,
Detailed mother tongue,        Malayalam ,,       0,,       0,,       0,,   10745,,    5460,,    5285,
Detailed mother tongue,        Maltese ,,      35,,      20,,      10,,    5830,,    2930,,    2905,
Detailed mother tongue,        Mandarin ,,      15,,      10,,       5,,  118390,,   55825,,   62565,
Detailed mother tongue,        Marathi ,,       0,,       0,,       0,,    4155,,    2135,,    2025,
Detailed mother tongue,        Nepali ,,       5,,       0,,       0,,    3640,,    1850,,    1795,
Detailed mother tongue,        Niger-Congo languages; n.i.e. ,,       5,,       5,,       5,,    5780,,    2925,,    2860,
Detailed mother tongue,        Norwegian ,,       5,,       0,,       5,,    1060,,     465,,     595,
Detailed mother tongue,        Oromo ,,       0,,       0,,       0,,    1770,,     890,,     875,
Detailed mother tongue,        Panjabi (Punjabi) ,,     125,,      70,,      60,,  173975,,   88090,,   85885,
Detailed mother tongue,        Pashto ,,       0,,       0,,       0,,    8165,,    4200,,    3965,
Detailed mother tongue,        Persian (Farsi) ,,      20,,      10,,      10,,   98905,,   50110,,   48790,
Detailed mother tongue,        Polish ,,     330,,     155,,     175,,  128440,,   58835,,   69600,
Detailed mother tongue,        Portuguese ,,     395,,     210,,     185,,  147725,,   71605,,   76125,
Detailed mother tongue,        Romanian ,,      60,,      30,,      30,,   41980,,   19835,,   22140,
Detailed mother tongue,        Rundi (Kirundi) ,,       0,,       0,,       0,,    1035,,     455,,     580,
Detailed mother tongue,        Russian ,,      40,,      20,,      20,,   93080,,   42590,,   50490,
Detailed mother tongue,        Rwanda (Kinyarwanda) ,,       0,,       0,,       0,,    1120,,     450,,     670,
Detailed mother tongue,        Semitic languages; n.i.e. ,,       0,,       0,,       0,,   14930,,    7345,,    7590,
Detailed mother tongue,        Serbian ,,      30,,      15,,      10,,   41910,,   20750,,   21165,
Detailed mother tongue,        Serbo-Croatian ,,       5,,       0,,       0,,    5250,,    2565,,    2685,
Detailed mother tongue,        Shanghainese ,,       0,,       0,,       0,,    1410,,     585,,     830,
Detailed mother tongue,        Sign languages; n.i.e. ,,      10,,       5,,       5,,    1580,,     835,,     745,
Detailed mother tongue,        Sindhi ,,       0,,       0,,       0,,    6530,,    3055,,    3475,
Detailed mother tongue,        Sinhala (Sinhalese) ,,       0,,       0,,       0,,    9335,,    4555,,    4780,
Detailed mother tongue,        Sino-Tibetan languages; n.i.e. ,,       5,,       0,,       0,,    1780,,     900,,     875,
Detailed mother tongue,        Slavic languages; n.i.e. ,,       0,,       5,,       0,,    2005,,    1000,,    1005,
Detailed mother tongue,        Slovak ,,      15,,      10,,      10,,   10250,,    4665,,    5585,
Detailed mother tongue,        Slovenian ,,      15,,       5,,       5,,    7505,,    3475,,    4030,
Detailed mother tongue,        Somali ,,       0,,       0,,       5,,   22685,,    9750,,   12930,
Detailed mother tongue,        Spanish ,,     215,,      95,,     120,,  178335,,   85410,,   92915,
Detailed mother tongue,        Swahili ,,       0,,       0,,       0,,    4745,,    2255,,    2490,
Detailed mother tongue,        Swedish ,,      10,,      10,,      10,,    2505,,    1060,,    1440,
Detailed mother tongue,        Tagalog (Pilipino; Filipino) ,,     115,,      35,,      80,,  140805,,   53595,,   87210,
Detailed mother tongue,        Taiwanese ,,       0,,       0,,       0,,    3020,,    1390,,    1625,
Detailed mother tongue,        Tamil ,,      10,,       5,,      10,,  111060,,   54760,,   56300,
Detailed mother tongue,        Telugu ,,       5,,       0,,       0,,    6730,,    3525,,    3205,
Detailed mother tongue,        Thai ,,       0,,       0,,       0,,    2915,,     995,,    1915,
Detailed mother tongue,        Tibetan languages ,,       5,,       0,,       5,,    3965,,    2005,,    1960,
Detailed mother tongue,        Tigrigna ,,       5,,       0,,       0,,    5560,,    2605,,    2955,
Detailed mother tongue,        Turkish ,,       5,,       5,,       5,,   16615,,    8755,,    7865,
Detailed mother tongue,        Ukrainian ,,      65,,      25,,      40,,   41455,,   18275,,   23185,
Detailed mother tongue,        Urdu ,,      25,,      10,,      15,,  128730,,   65470,,   63260,
Detailed mother tongue,        Vietnamese ,,      20,,      10,,      15,,   65915,,   30920,,   34990,
Detailed mother tongue,        Yiddish ,,       0,,       0,,       0,,    5105,,    2350,,    2760,
Detailed mother tongue,      Other languages,22,      30,,      10,,      20,,   26410,,   12725,,   13690,
Detailed mother tongue,  Multiple responses         ,,     395,,     190,,     210,,  287290,,  138385,,  148910,
Detailed mother tongue,    English and French ,,      95,,      35,,      60,,   46605,,   21805,,   24795,
Detailed mother tongue,    English and non-official language ,,     285,,     140,,     140,,  219425,,  106790,,  112635,
Detailed mother tongue,    French and non-official language ,,      20,,      10,,      10,,   13645,,    6285,,    7365,
Detailed mother tongue,    English; French and non-official language,,       5,,       5,,       0,,    7615,,    3495,,    4115,
Knowledge of official languages,Knowledge of official languages - Total population excluding institutional residents,19,   56365,,   27915,,   28455,,12722060,, 6210335,, 6511730,
Knowledge of official languages,  English only,,   53225,,   26555,,   26670,,10984360,, 5445050,, 5539310,
Knowledge of official languages,  French only,,      15,,       5,,       0,,   42980,,   18805,,   24175,
Knowledge of official languages,  English and French,,    2985,,    1290,,    1695,, 1395805,,  627725,,  768085,
Knowledge of official languages,  Neither English nor French,,     145,,      60,,      80,,  298920,,  118765,,  180155,
First official language spoken,First official language spoken - Total population excluding institutional residents,19,   56365,,   27910,,   28455,,12722065,, 6210340,, 6511730,
First official language spoken,  English,,   55610,,   27580,,   28035,,11844580,, 5819520,, 6025055,
First official language spoken,  French,,     550,,     245,,     305,,  500270,,  235620,,  264655,
First official language spoken,  English and French,,      65,,      30,,      35,,   84230,,   39330,,   44895,
First official language spoken,  Neither English nor French,,     135,,      55,,      80,,  292980,,  115860,,  177115,
First official language spoken,Official language minority (number),23,     580,,     265,,     325,,  542390,,  255285,,  287100,
First official language spoken,Official language minority (percentage),23,    1.0,,    0.9,,    1.1,,    4.3,,    4.1,,    4.4,
Detailed language spoken most often at home,Detailed language spoken most often at home - Total population excluding institutional residents,19,   56365,,   27915,,   28455,,12722065,, 6210340,, 6511730,
Detailed language spoken most often at home,  Single responses,,   55840,,   27665,,   28175,,12156790,, 5936965,, 6219825,
Detailed language spoken most often at home,    English,,   54705,,   27105,,   27600,,10044810,, 4930610,, 5114200,
Detailed language spoken most often at home,    French,,     110,,      55,,      55,,  284115,,  133495,,  150620,
Detailed language spoken most often at home,    Non-official languages,,    1025,,     510,,     520,, 1827870,,  872860,,  955010,
Detailed language spoken most often at home,      Selected Aboriginal languages,20,       0,,       0,,       0,,    5935,,    3000,,    2930,
Detailed language spoken most often at home,        Atikamekw  ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Cree; n.o.s.,,       0,,       0,,       0,,    1920,,     950,,     970,
Detailed language spoken most often at home,        Dene,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Innu/Montagnais,,       0,,       0,,       0,,       5,,       0,,       0,
Detailed language spoken most often at home,        Inuktitut,,       0,,       0,,       0,,      80,,      20,,      60,
Detailed language spoken most often at home,        Mi'kmaq,,       0,,       0,,       0,,      10,,       5,,       5,
Detailed language spoken most often at home,        Ojibway,,       0,,       0,,       0,,    2855,,    1510,,    1345,
Detailed language spoken most often at home,        Oji-Cree,,       0,,       0,,       0,,    1065,,     505,,     555,
Detailed language spoken most often at home,        Stoney,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,      Selected non-Aboriginal languages,21,    1025,,     510,,     515,, 1811985,,  864990,,  946995,
Detailed language spoken most often at home,        African languages; n.i.e.,,       0,,       0,,       0,,    1405,,     675,,     730,
Detailed language spoken most often at home,        Afrikaans,,       0,,       0,,       0,,     775,,     385,,     390,
Detailed language spoken most often at home,        Akan (Twi),,       0,,       0,,       0,,    5305,,    2390,,    2915,
Detailed language spoken most often at home,        Albanian,,       0,,       0,,       0,,   10055,,    5075,,    4980,
Detailed language spoken most often at home,        Amharic,,       0,,       0,,       0,,    5280,,    2400,,    2880,
Detailed language spoken most often at home,        Arabic,,      25,,      10,,      10,,   76410,,   38095,,   38315,
Detailed language spoken most often at home,        Armenian,,       0,,       0,,       0,,    7375,,    3435,,    3940,
Detailed language spoken most often at home,        Bantu languages; n.i.e.,,       0,,       0,,       0,,     885,,     420,,     465,
Detailed language spoken most often at home,        Bengali,,       5,,       5,,       0,,   26895,,   13495,,   13405,
Detailed language spoken most often at home,        Berber languages (Kabyle),,       0,,       0,,       0,,      40,,      20,,      20,
Detailed language spoken most often at home,        Bisayan languages,,       0,,       0,,       0,,    2045,,     895,,    1150,
Detailed language spoken most often at home,        Bosnian,,       0,,       0,,       0,,    3525,,    1765,,    1760,
Detailed language spoken most often at home,        Bulgarian,,       0,,       5,,       0,,    5165,,    2535,,    2630,
Detailed language spoken most often at home,        Burmese,,       5,,       0,,       0,,     885,,     425,,     460,
Detailed language spoken most often at home,        Cantonese,,      15,,       5,,      10,,  147795,,   68295,,   79500,
Detailed language spoken most often at home,        Chinese; n.o.s.,,      10,,       5,,       5,,  135665,,   64765,,   70895,
Detailed language spoken most often at home,        Creoles,,       0,,       0,,       0,,    4720,,    2120,,    2600,
Detailed language spoken most often at home,        Croatian,,      20,,      10,,      10,,   13185,,    6320,,    6865,
Detailed language spoken most often at home,        Czech,,      10,,       5,,       5,,    4325,,    2055,,    2265,
Detailed language spoken most often at home,        Danish,,       5,,       0,,       0,,     335,,     170,,     170,
Detailed language spoken most often at home,        Dutch,,      30,,      15,,      15,,    5395,,    2535,,    2855,
Detailed language spoken most often at home,        Estonian,,       0,,       0,,       0,,    1260,,     475,,     785,
Detailed language spoken most often at home,        Finnish,,      10,,       5,,       0,,    2280,,    1005,,    1270,
Detailed language spoken most often at home,        Flemish,,       0,,       0,,       0,,     230,,     105,,     130,
Detailed language spoken most often at home,        Fukien,,       0,,       0,,       0,,    1045,,     495,,     550,
Detailed language spoken most often at home,        German,,     180,,      95,,      85,,   39180,,   18925,,   20255,
Detailed language spoken most often at home,        Greek,,      15,,       5,,       5,,   23590,,   11185,,   12405,
Detailed language spoken most often at home,        Gujarati,,       0,,       5,,       0,,   42445,,   20860,,   21585,
Detailed language spoken most often at home,        Hakka,,       0,,       0,,       0,,    1595,,     740,,     855,
Detailed language spoken most often at home,        Hebrew,,       0,,       0,,       0,,    5240,,    2630,,    2610,
Detailed language spoken most often at home,        Hindi,,      10,,      10,,       5,,   24650,,   12200,,   12450,
Detailed language spoken most often at home,        Hungarian,,      15,,       5,,      10,,   15440,,    7260,,    8175,
Detailed language spoken most often at home,        Ilocano,,      10,,       5,,       5,,    2920,,    1170,,    1745,
Detailed language spoken most often at home,        Indo-Iranian languages; n.i.e.,,       0,,       0,,       0,,    1175,,     590,,     590,
